# Nuclear physics data, mass excess parameter.
Time MassExcess
3501 -29908
3502 -29582.1
3503 -29269.9
3504 -28770.4
3505 -30954.4
3506 -27490
3507 -26950
3508 -26750
3509 -26050
3510 -23909
3511 -19369
3512 -19085
3513 -18837
3514 -15473
3515 -13619
3516 -12907
3517 -12781
3518 -6670
3519 -6340#
3520 -1231
3521 NAN
3522 -24400
3523 -27392
3524 -26968
3525 -29095.0
3526 -28546.1
3527 -29547.1
3528 -29014.6
3529 -28059
3530 -27309
3531 -25228
3532 -24799
3533 -22664
3534 -20798
3535 -20131
3536 -15215
3537 -14903
3538 -8820
3539 -1520
3540 -1334
3541 6760
3542 -26603
3543 -27270
3544 -26300
3545 -29504.1
3546 -27048
3547 -26294
3548 -26243
3549 -20370
3550 -20270#
3551 -19942
3552 -16954
3553 -8988
3554 -8875
3555 -8644
3556 -4006
3557 6120
3558 6180
3559 -23740
3560 -26401
3561 -27663.3
3562 -26897.1
3563 -27182
3564 -26263
3565 -25258
3566 -24629
3567 -21416
3568 -20570
3569 -16525
3570 -16101
3571 -10789
3572 -4070
3573 -3790#
3574 3600
3575 -22600#
3576 -24400
3577 -27345.9
3578 -25983
3579 -25033
3580 -25934
3581 -23764
3582 -20733
3583 -20118
3584 -17924
3585 -15297
3586 -10591
3587 -10401
3588 -10010
3589 -6275
3590 3140
3591 3470#
3592 9210
3593 -23143
3594 -25269.1
3595 -24336.0
3596 -25761.2
3597 -22360
3598 -24787
3599 -23962
3600 -21838
3601 -21540
3602 -20442
3603 -17307
3604 -16666
3605 -12163
3606 -6160
3607 -5798
3608 861
3609 8640
3610 8860
3611 -20750#
3612 -24690.2
3613 -24346.0
3614 -23242.0
3615 -21850
3616 -20850
3617 -25109.7
3618 -22923.9
3619 -20667
3620 -19862
3621 -17834
3622 -18334
3623 -11875
3624 -11288
3625 -7984
3626 608
3627 658
3628 934
3629 6054
3630 -18750#
3631 -22287
3632 -20730
3633 -23820.6
3634 -20530.0
3635 -23770.1
3636 -22756.3
3637 -20574.5
3638 -21062
3639 -17509
3640 -16048
3641 -16629
3642 -12972
3643 -10909
3644 -10632
3645 -7710
3646 -1310
3647 5840
3648 6150#
3649 -20946
3650 -22253.1
3651 -19610.0
3652 -23785.4
3653 -21585.3
3654 -19758.1
3655 -20028
3656 -19968
3657 -18983
3658 -18182
3659 -16596
3660 -15920
3661 -12420
3662 -11613
3663 -9116
3664 -1243
3665 -1048
3666 -517
3667 3565
3668 13510
3669 13590
3670 13800#
3671 -16220
3672 -21034
3673 -19686
3674 -22451.9
3675 -20818.5
3676 -20054.4
3677 -17952.9
3678 -17146
3679 -15763
3680 -16031
3681 -13243
3682 -8631
3683 -7732
3684 -2840
3685 3540
3686 4095
3687 11130
3688 -13100#
3689 -16749.5
3690 -21748.5
3691 -16853.5
3692 -18870.0
3693 -17298.9
3694 -17469.5
3695 -12491
3696 -9648
3697 -2670
3698 1714
3699 3510
3700 10760
3701 11258
3702 -8350#
3703 -13638
3704 -17614.4
3705 -18258.5
3706 -16365.9
3707 -12880
3708 -8929
3709 -7755
3710 -3769
3711 1850
3712 8840
3713 16500
3714 -5110#
3715 -9246
3716 -14728.3
3717 -13450
3718 -14791.8
3719 -14520.5
3720 -14358.3
3721 -15953.1
3722 -14396.1
3723 -11972
3724 -9422
3725 -7944
3726 -5013
3727 -9598
3728 -7908
3729 -5761
3730 -3105
3731 -3346
3732 461
3733 2260
3734 8790
3735 14043
3736 -6080#
3737 -10491.4
3738 -11858
3739 -10631
3740 -10601
3741 -12432.5
3742 -10970
3743 -10298
3744 -7559
3745 -11647.1
3746 -8756
3747 -4158
3748 836
3749 7200
3750 13910
3751 -1650#
3752 -7547.4
3753 -6212
3754 -8117.3
3755 -7870
3756 -5920#
3757 -10369.4
3758 -7459
3759 -8621
3760 -8395
3761 -3849
3762 -8660
3763 -3538
3764 -191
3765 1767
3766 7280
3767 12091
3768 21610
3769 -3184
3770 -5231
3771 -6653
3772 -6579
3773 -5698
3774 -3550
3775 358
3776 2127
3777 6150
3778 12120
3779 19660
3780 -181.3
3781 -1200
3782 -4469.9
3783 -3380
3784 -3320
3785 -3146
3786 -4320
3787 -2695
3788 -958
3789 -835
3790 101
3791 6429
3792 10712
3793 19490
3794 4480#
3795 1649
3796 2997
3797 -540.3
3798 -1255
3799 -1169
3800 318
3801 2534
3802 4412
3803 4781
3804 6012
3805 10927
3806 17870
3807 5874
3808 1783.8
3809 2257
3810 2670
3811 256
3812 2979
3813 3291
3814 8123
3815 8166
3816 10304
3817 12346
3818 12941
3819 17800
3820 8820#
3821 5901
3822 4396
3823 3659
3824 4315
3825 5887
3826 8707
3827 10719
3828 12216
3829 17070
3830 18930
3831 22700
3832 13340#
3833 8358.3
3834 8099
3835 5217.5
3836 7059
3837 7146
3838 7260#
3839 6651
3840 10840
3841 10990#
3842 11420#
3843 12374
3844 18669
3845 21920
3846 12800#
3847 10397
3848 8830.8
3849 8618
3850 9394
3851 11570
3852 14470
3853 18520
3854 23210
