# Nuclear physics data, mass excess parameter.
Time MassExcess StandardDeviation
3501 -29908 3
3502 -29582.1 0.6
3503 -29269.9 0.6
3504 -28770.4 1.6
3505 -30954.4 0.3
3506 -27490 80
3507 -26950 80
3508 -26750 80
3509 -26050 15
3510 -23909 15
3511 -19369 28
3512 -19085 28
3513 -18837 28
3514 -15473 17
3515 -13619 17
3516 -12907 17
3517 -12781 17
3518 -6670 50
3519 -6340# 70#
3520 -1231 13
3521 NAN NAN
3522 -24400 40
3523 -27392 3
3524 -26968 4
3525 -29095.0 0.6
3526 -28546.1 0.6
3527 -29547.1 0.4
3528 -29014.6 0.4
3529 -28059 28
3530 -27309 28
3531 -25228 26
3532 -24799 26
3533 -22664 26
3534 -20798 12
3535 -20131 12
3536 -15215 23
3537 -14903 23
3538 -8820 50
3539 -1520 60
3540 -1334 29
3541 6760 40
3542 -26603 20
3543 -27270 50
3544 -26300 50
3545 -29504.1 0.4
3546 -27048 6
3547 -26294 6
3548 -26243 11
3549 -20370 24
3550 -20270# 70#
3551 -19942 24
3552 -16954 14
3553 -8988 24
3554 -8875 25
3555 -8644 24
3556 -4006 13
3557 6120 80
3558 6180 70
3559 -23740 50
3560 -26401 3
3561 -27663.3 0.6
3562 -26897.1 0.6
3563 -27182 15
3564 -26263 15
3565 -25258 22
3566 -24629 22
3567 -21416 15
3568 -20570 15
3569 -16525 6
3570 -16101 6
3571 -10789 8
3572 -4070 70
3573 -3790# 90#
3574 3600 70
3575 -22600# 300#
3576 -24400 170
3577 -27345.9 0.6
3578 -25983 15
3579 -25033 15
3580 -25934 8
3581 -23764 8
3582 -20733 20
3583 -20118 21
3584 -17924 15
3585 -15297 15
3586 -10591 28
3587 -10401 28
3588 -10010 28
3589 -6275 18
3590 3140 50
3591 3470# 70#
3592 9210 60
3593 -23143 3
3594 -25269.1 1.7
3595 -24336.0 2.0
3596 -25761.2 1.3
3597 -22360 300
3598 -24787 7
3599 -23962 7
3600 -21838 7
3601 -21540 22
3602 -20442 22
3603 -17307 26
3604 -16666 26
3605 -12163 12
3606 -6160 24
3607 -5798 24
3608 861 16
3609 8640 80
3610 8860 40
3611 -20750# 200#
3612 -24690.2 0.3
3613 -24346.0 1.3
3614 -23242.0 1.4
3615 -21850 500
3616 -20850 500
3617 -25109.7 1.2
3618 -22923.9 1.2
3619 -20667 26
3620 -19862 26
3621 -17834 26
