# This file contains sunspot number from 1990 to 2011.
time x
1 186
186 176
176 166
166 174
174 164
164 144
144 129
129 138
138 125
125 134
134 164
164 172
172 179
179 147
147 157
157 152
152 164
164 177
177 199
199 236
236 217
217 208
208 200
200 191
191 206
206 203
203 211
211 193
193 185
185 198
198 201
201 171
171 161
161 124
124 113
113 97
97 80
80 82
82 95
95 103
103 79
79 75
75 80
80 85
85 75
75 78
78 64
64 54
54 77
77 107
107 134
134 159
159 191
191 239
239 249
249 245
245 234
234 217
217 187
187 173
173 171
171 163
163 126
126 98
98 104
104 105
105 88
88 71
71 80
80 73
73 85
85 83
83 90
90 110
110 129
129 123
123 167
167 202
202 217
217 211
211 195
195 206
206 209
209 204
204 188
188 168
168 129
129 132
132 133
133 115
115 103
103 114
114 113
113 127
127 132
132 138
138 128
128 128
128 88
88 82
82 88
88 77
77 123
123 142
142 171
171 170
170 199
199 203
203 213
213 206
206 212
212 207
207 174
174 157
157 160
160 118
118 124
124 103
103 94
94 114
114 70
70 59
59 61
61 86
86 80
80 106
106 132
132 138
138 133
133 116
116 126
126 146
146 144
144 141
141 144
144 157
157 167
167 170
170 187
187 187
187 193
193 187
187 160
160 158
158 146
146 134
134 139
139 121
121 118
118 90
90 101
101 96
96 80
80 73
73 77
77 79
79 101
101 107
107 99
99 87
87 107
107 126
126 115
115 122
122 118
118 102
102 110
110 100
100 83
83 79
79 68
68 57
57 71
71 64
64 88
88 94
94 103
103 140
140 184
184 203
203 230
230 272
272 253
253 264
264 241
241 213
213 186
186 173
173 135
135 102
102 88
88 106
106 110
110 114
114 118
118 98
98 95
95 87
87 57
57 61
61 81
81 123
123 143
143 165
165 201
201 204
204 196
196 177
177 165
165 144
144 117
117 142
142 146
146 175
175 151
151 137
137 128
128 124
124 120
120 136
136 145
145 160
160 161
161 167
167 192
192 215
215 229
229 232
232 269
269 270
270 290
290 295
295 278
278 262
262 281
281 276
276 263
263 220
220 188
188 176
176 186
186 181
181 155
155 120
120 116
116 126
126 134
134 118
118 118
118 112
112 112
112 113
113 121
121 116
116 124
124 142
142 178
178 162
162 156
156 137
137 136
136 151
151 145
145 150
150 141
141 117
117 101
101 94
94 93
93 77
77 113
113 119
119 115
115 110
110 112
112 140
140 134
134 123
123 124
124 135
135 141
141 148
148 153
153 195
195 192
192 214
214 202
202 218
218 192
192 188
188 181
181 181
181 169
169 136
136 140
140 134
134 131
131 125
125 102
102 111
111 119
119 98
98 87
87 77
77 77
77 81
81 108
108 146
146 154
154 197
197 209
209 208
208 188
188 163
163 167
167 151
151 118
118 119
119 113
113 102
102 110
110 97
97 109
109 98
98 102
102 125
125 114
114 118
118 110
110 117
117 109
109 144
144 153
153 0
0 127
127 160
160 180
180 186
186 167
167 169
169 182
182 177
177 176
176 175
175 157
157 138
138 117
117 95
95 88
88 104
104 112
112 121
121 134
134 114
114 117
117 99
99 91
91 95
95 101
101 104
104 104
104 111
111 109
109 103
103 108
108 139
139 89
89 93
93 95
95 104
104 119
119 105
105 99
99 94
94 97
97 116
116 122
122 145
145 119
119 114
114 133
133 154
154 127
127 119
119 91
91 107
107 106
106 127
127 135
135 149
149 179
179 220
220 237
237 248
248 239
239 224
224 205
205 209
209 176
176 144
144 127
127 117
117 119
119 118
118 134
134 136
136 140
140 153
153 166
166 163
163 173
173 159
159 136
136 191
191 206
206 198
198 223
223 214
214 200
200 192
192 194
194 187
187 175
175 134
134 95
95 93
93 71
71 55
55 74
74 88
88 131
131 146
146 156
156 159
159 167
167 163
163 152
152 161
161 182
182 202
202 167
167 168
168 155
155 173
173 167
167 179
179 179
179 154
154 146
146 153
153 137
137 129
129 140
140 141
141 115
115 89
89 92
92 118
118 139
139 160
160 159
159 164
164 146
146 172
172 167
167 195
195 227
227 197
197 211
211 227
227 188
188 172
172 171
171 173
173 161
161 115
115 79
79 72
72 33
33 39
39 73
73 82
82 119
119 132
132 129
129 93
93 86
86 106
106 95
95 89
89 96
96 99
99 125
125 140
140 134
134 145
145 133
133 116
116 134
134 119
119 113
113 113
113 125
125 116
116 121
121 97
97 117
117 120
120 117
117 121
121 139
139 156
156 158
158 150
150 141
141 145
145 177
177 175
175 171
171 179
179 180
180 167
167 171
171 210
210 240
240 241
241 250
250 219
219 175
175 177
177 154
154 165
165 149
149 142
142 143
143 113
113 147
147 135
135 124
124 135
135 137
137 150
150 143
143 162
162 177
177 183
183 188
188 213
213 238
238 250
250 217
217 204
204 209
209 203
203 179
179 181
181 170
170 138
138 139
139 132
132 117
117 102
102 91
91 89
89 114
114 132
132 171
171 184
184 212
212 205
205 189
189 199
199 183
183 183
183 182
182 197
197 173
173 132
132 138
138 143
143 136
136 148
148 119
119 120
120 106
106 89
89 75
75 86
86 98
98 126
126 122
122 164
164 212
212 257
257 279
279 280
280 291
291 300
300 294
294 275
275 259
259 215
215 177
177 147
147 157
157 171
171 166
166 184
184 170
170 161
161 147
147 147
147 132
132 137
137 111
111 135
135 122
122 127
127 123
123 130
130 143
143 147
147 123
123 101
101 103
103 101
101 84
84 80
80 115
115 124
124 129
129 112
112 111
111 117
117 120
120 124
124 144
144 138
138 155
155 147
147 159
159 158
158 165
165 129
129 115
115 116
116 137
137 149
149 141
141 129
129 125
125 138
138 145
145 126
126 111
111 111
111 88
88 83
83 77
77 81
81 107
107 138
138 161
161 171
171 217
217 221
221 248
248 223
223 197
197 198
198 173
173 139
139 109
109 113
113 125
125 134
134 141
141 132
132 121
121 129
129 114
114 104
104 94
94 88
88 73
73 75
75 75
75 96
96 94
94 87
87 78
78 83
83 95
95 98
98 83
83 104
104 104
104 80
80 0
0 102
102 96
96 124
124 116
116 131
131 133
133 154
154 174
174 209
209 212
212 211
211 187
187 177
177 175
175 155
155 135
135 124
124 133
133 134
134 117
117 109
109 108
108 110
110 130
130 143
143 150
150 132
132 138
138 156
156 151
151 151
151 141
141 144
144 177
177 184
184 183
183 185
185 190
190 204
204 193
193 183
183 155
155 143
143 142
142 108
108 107
107 87
87 76
76 71
71 88
88 115
115 142
142 127
127 117
117 112
112 127
127 148
148 173
173 187
187 196
196 219
219 225
225 238
238 221
221 194
194 178
178 164
164 159
159 157
157 179
179 187
187 173
173 182
182 141
141 148
148 137
137 111
111 110
110 109
109 99
99 101
101 117
117 137
137 144
144 150
150 188
188 192
192 196
196 192
192 191
191 176
176 166
166 124
124 106
106 92
92 65
65 69
69 103
103 106
106 118
118 125
125 122
122 125
125 138
138 130
130 110
110 107
107 85
85 75
75 78
78 88
88 91
91 90
90 92
92 109
109 119
119 116
116 111
111 110
110 121
121 107
107 111
111 103
103 95
95 88
88 64
64 50
50 60
60 64
64 57
57 58
58 54
54 62
62 66
66 68
68 75
75 82
82 97
97 117
117 129
129 139
139 163
163 176
176 171
171 166
166 146
146 159
159 123
123 96
96 97
97 89
89 80
80 88
88 86
86 90
90 98
98 96
96 93
93 72
72 82
82 79
79 73
73 68
68 80
80 87
87 78
78 65
65 45
45 41
41 59
59 54
54 59
59 110
110 106
106 113
113 99
99 66
66 57
57 80
80 59
59 41
41 30
30 33
33 31
31 38
38 72
72 74
74 81
81 70
70 64
64 60
60 70
70 74
74 82
82 102
102 86
86 77
77 60
60 64
64 64
64 59
59 63
63 56
56 55
55 69
69 73
73 70
70 64
64 59
59 38
38 43
43 70
70 67
67 78
78 66
66 63
63 71
71 78
78 77
77 79
79 83
83 102
102 129
129 133
133 132
132 126
126 151
151 161
161 159
159 140
140 102
102 88
88 66
66 65
65 67
67 54
54 43
43 37
37 54
54 61
61 53
53 39
39 47
47 53
53 65
65 90
90 103
103 103
103 94
94 89
89 86
86 93
93 93
93 74
74 60
60 53
53 61
61 82
82 76
76 96
96 90
90 71
71 69
69 59
59 48
48 44
44 36
36 38
38 20
20 30
30 34
34 33
33 40
40 35
35 36
36 47
47 49
49 44
44 46
46 47
47 52
52 44
44 38
38 57
57 54
54 59
59 63
63 77
77 77
77 75
75 76
76 62
62 54
54 63
63 62
62 65
65 66
66 89
89 90
90 75
75 84
84 86
86 62
62 72
72 81
81 85
85 98
98 95
95 105
105 122
122 113
113 103
103 88
88 91
91 73
73 57
57 41
41 36
36 43
43 40
40 54
54 55
55 73
73 92
92 75
75 98
98 104
104 95
95 114
114 113
113 125
125 138
138 131
131 111
111 100
100 82
82 104
104 88
88 68
68 86
86 95
95 95
95 96
96 74
74 76
76 74
74 84
84 83
83 62
62 69
69 70
70 84
84 100
100 102
102 108
108 98
98 85
85 95
95 115
115 122
122 125
125 116
116 116
116 99
99 92
92 74
74 65
65 56
56 59
59 59
59 51
51 48
48 34
34 63
63 91
91 99
99 116
116 109
109 113
113 115
115 112
112 109
109 105
105 98
98 97
97 97
97 84
84 91
91 79
79 78
78 81
81 90
90 73
73 86
86 78
78 69
69 56
56 46
46 41
41 38
38 52
52 71
71 84
84 81
81 89
89 94
94 100
100 91
91 94
94 96
96 69
69 58
58 59
59 62
62 66
66 68
68 52
52 47
47 34
34 30
30 45
45 51
51 37
37 43
43 37
37 35
35 36
36 32
32 22
22 34
34 73
73 85
85 119
119 121
121 128
128 134
134 126
126 114
114 95
95 97
97 92
92 82
82 73
73 88
88 68
68 80
80 88
88 97
97 92
92 100
100 101
101 90
90 88
88 86
86 86
86 88
88 76
76 80
80 84
84 93
93 105
105 96
96 93
93 82
82 85
85 81
81 86
86 77
77 67
67 56
56 60
60 56
56 60
60 69
69 72
72 70
70 78
78 73
73 63
63 42
42 40
40 46
46 51
51 51
51 54
54 58
58 61
61 67
67 67
67 75
75 67
67 75
75 89
89 79
79 81
81 87
87 79
79 56
56 37
37 22
22 15
15 13
13 13
13 34
34 49
49 51
51 89
89 98
98 93
93 96
96 98
98 88
88 53
53 62
62 54
54 41
41 38
38 33
33 32
32 42
42 69
69 77
77 75
75 74
74 81
81 87
87 120
120 125
125 116
116 85
85 59
59 51
51 37
37 32
32 24
24 14
14 33
33 25
25 19
19 22
22 33
33 53
53 66
66 59
59 74
74 91
91 97
97 96
96 105
105 102
102 101
101 82
82 75
75 83
83 72
72 55
55 46
46 47
47 37
37 18
18 10
10 10
10 10
10 13
13 17
17 16
16 15
15 24
24 26
26 27
27 51
51 50
50 59
59 59
59 67
67 69
69 79
79 70
70 58
58 61
61 66
66 80
80 73
73 58
58 45
45 40
40 38
38 31
31 35
35 35
35 51
51 63
63 66
66 63
63 67
67 80
80 82
82 71
71 66
66 58
58 68
68 66
66 61
61 55
55 60
60 59
59 47
47 45
45 46
46 38
38 40
40 36
36 35
35 27
27 49
49 43
43 47
47 59
59 65
65 73
73 58
58 60
60 39
39 29
29 22
22 29
29 28
28 28
28 23
23 31
31 42
42 42
42 56
56 53
53 44
44 49
49 48
48 49
49 37
37 30
30 26
26 24
24 22
22 23
23 22
22 14
14 12
12 12
12 16
16 9
9 12
12 9
9 10
10 10
10 10
10 23
23 21
21 19
19 15
15 15
15 14
14 14
14 16
16 23
23 43
43 43
43 49
49 52
52 48
48 46
46 64
64 95
95 87
87 100
100 90
90 71
71 65
65 70
70 76
76 58
